subject,number,course_id,course_title,course_full,review_id,text,rating,difficulty,workload,date,professors,grade,major,likes,isCovid
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,b64l8DJrf,Weekly projects were very time consuming.,3.0,3,5.0,2025-05-19T23:20:08.223Z,Anshuman Mohan,A-,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,2kAFZ1Q89,"The lectures are clear and well-organized though a bit boring. The workload for the course is generally ok, though some assignments are stressful and can take a long time. The professor is very enthusiastic about the material.",4.0,3,4.0,2025-05-10T01:12:55.631Z,Anshuman Mohan,A-,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,1rcKWyvfZ,Very manageable class. Assignments were very interesting,4.0,2,3.0,2025-05-10T01:11:56.110Z,Michael Clarkson,B+,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,I7KrUMW6Y,"this class is super rewarding because you’ll basically master a completely new language in just one semester. professor mohan is a bit of a stickler but a very good lecturer. as a warning to future students, please read the programming guidelines…",4.0,3,3.0,2025-05-10T00:47:27.128Z,Anshuman Mohan,A+,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,a9QJzzkAK,"Lowkey easier than 2110, very nice professor, workload was high but not super high",5.0,3,3.0,2025-05-10T00:37:35.254Z,Anshuman Mohan,B,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,nswXGh2vo,"This course to me is quite well taught but simply the content was not that interesting to me. Mohan is a sometimes humorous lecturer and pretty energetic, which depending on the day is funny or annoying. Overall, the course is pretty easy to follow and you learn a decent amount, if you're interested in functional programming. But OCaml is kind of a sucky language.",3.0,2,3.0,2025-05-10T00:27:04.934Z,Anshuman Mohan,A,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,62T7wTHE-,"Prof. Mohan is my goat. He's one of the sweetest and most passionate professors I've ever had -- every time I walked into class his excitement to teach was palpable, and the course itself was pretty well-balanced and fun which helped. Assignments were very nicely graded and occasionally difficult but usually alright, and exams were in-class with cheat sheets allowed so I didn't sweat them that hard. Also, OCaml is an incredibly fun language to learn and mess around with and I had a lot of fun with it.",5.0,2,2.0,2025-05-10T00:17:42.458Z,Anshuman Mohan,A,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,h09004x2W,"The lecture and the content are extremely engaging and important for a computer science career. 

The assignments allows a lot of creativity and flexibilities, which encourages a lot of exploration.

The professor is passionate and helpful always.",5.0,4,5.0,2025-03-19T18:26:17.548Z,Michael Clarkson,A,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,3ww17KBQ6,"I loved this class! Possibly the best class I've ever taken at Cornell to be honest. 3110 really forces you to approach coding in a different way and you find out just how elegant and neat functional programming can be — I genuinely found a new appreciation for CS even as someone who is not super passionate about it. Assignments are super interesting too — definitely the most fun I've ever had in a CS class. It really feels like you're learning and applying cool new things every time you complete a new assignment.

We had assignments every week that normally took from 6-10 hours, so quite a lot of work, however, they were graded out of 85 so as long as you reach 85 it's automatically 100%.

Attendance is graded but you can choose either a riskier option or a safer one that gives less of a bonus.

You can bring a double-sided cheatsheet into prelims. Prelims are not too hard but there are 3 of them so you have to be consistent.

The final project was really fun — you form a team of up to 4 people and can work on anything you'd like. My team worked on a game and it was super cool being able to integrate OCaml with a GUI.

Overall this class was way more interesting than 2110 and felt less difficult as well to be honest.",5.0,3,4.0,2024-12-17T03:27:02.946Z,"Michael Clarkson, Anshuman Mohan",A-,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,uyo5o8EcT,"This class wasn't bad, but the professors were really boring. I survived solely through Clarkson's textbook and videos. The final project took up a good chunk of time throughout the semester, but it was semi-helpful on my resume. If you're not a CS major, this class is not gonna give you any value.",3.0,2,3.0,2024-12-10T22:22:27.285Z,"Justin Hsu, Dexter Kozen",A-,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,p0FzQDvjwY,"(Haven't finished the class yet, don't know what grade -- probably an A or A+.) [ Left Out Comment On the Professor], mind-numbing lectures, no idea why this class is regarded as a great course. Changed course from last semester to make it harder, way too much work for such inconsequential material. Unless you're going to a certain firm, you don't need to know OCaml, and in general the programming principles taught are a repeat of 2110 and 2800 (not nearly taught as well) and have no need to take place within the setting of OCaml. No idea why it's core compared to other classes. Destroyed my love for programming, and it's not because the material's hard, either; easy to get full scores on assignments and median+ on exams, but a complete and utter annoyance. If you are deciding between CS and another major, i.e. ORIE/ECE/math etc., you can avoid this class by choosing the other major. Go to school for the love of learning and exploring new domains, not to put yourself through useless drudgery. I do not feel respected as a student with other time-consuming classes and extracurriculars in this class!",1.0,2,5.0,2024-11-13T20:42:56.649Z,Michael Clarkson,A,Computer Science,0,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,kS31Wni9F,"Pretty fun class I think. 

Also had it with Justin Hsu. 

Fun projects - but they did take a long time. OCaml is also a very cool language to learn. ",5.0,4,4.0,2024-02-18T00:36:17.765Z,"Nate Foster, Not Listed",A-,Computer science,1,False
CS,3110,cJSmM8bnwm2QFnmAn,Data Structures and Functional Programming,cs 3110 data structures and functional programming,-HBwcsK4W,"This class taught me that everyone experiences things differently.  I found this class to be hard, with so many exams and projects. I stressed a lot about this class lol. It is a useful class I would say though.",3.0,4,4.0,2023-01-13T10:01:53.763Z,Nate Foster,,Computer science,0,False
