roster,subject,number,title,description,unitsMinimum,unitsMaximum,gradingBasis,gradingBasisShort,gradingBasisLong,sessionCode,sessionBeginDt,sessionEndDt,sessionLong,openStatus,campus,campusDescr,maxEnroll,enrollCount,waitCount,notes_descrlong,meeting_days,meeting_time,meeting_location,instructors,course_id,course_title,course_full,review_id,text,rating,difficulty,workload,date,professors,grade,major,likes,isCovid
SP26,CS,1110,Introduction to Computing: A Design and Development Perspective,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help.",4.0,4.0,OPI,Opt NoAud,Letter or S/U grades (no audit),1,01/20/2026,05/16/2026,Regular Academic Session,O,MAIN,Ithaca,,,,"Students in CS 1110 can register for an optional 1.0-credit Academic Excellence Workshop (AEW) to support their learning. AEWs are collaborative two-hour weekly problem-solving sessions led by peer educators who have previously taken this course. AEWs are designed to enhance understanding and deeper comprehension; you do not need to be an Engineering student to enroll. Grading is S/U. Search “ENGRG 1010” in the course catalog to learn more and enroll. | For Bowers Computer and Information Science (CIS) Course Enrollment Help, please see: https://tdx.cornell.edu/TDClient/193/Portal/Home/",TR,09:05AM-09:55AM,,"Daisy Fan (kdf4), Leah Perlmutter (lrp87)",,,,,,,,,,,,,,
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,GOFLL5IzO,Assignments are super annoying and take so long and the TAs are not great help. The class goes from really easy to pretty difficult really fast. Def easier than 1112 though,3.0,3.0,4.0,2025-11-18T04:05:55.692Z,"Michael Clarkson, Lillian Lee",A,Biological Engineering,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,Vpof7SHak,Prof White is a great lecturer! The class is a decent amount of work but the assignments are great. I loved the final one where you have to make a game. Definitely recommend the course to anyone who doesn’t know Python!,5.0,3.0,4.0,2025-05-10T01:28:18.059Z,Walker White,A,Electrical and Computer Engineering,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,aGRNy5FIh,Loved the final project,5.0,3.0,4.0,2025-05-10T01:26:03.425Z,Walker White,A,Electrical and Computer Engineering,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,Hpa_PzKf4,Walker White is phenomenal ,5.0,3.0,4.0,2025-05-10T01:24:39.261Z,Walker White,A-,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,pHmxRhP37G,The lecture were engaging and fun. He put the lectures into fun experiences to learn ,5.0,2.0,3.0,2025-05-10T01:24:28.480Z,Walker White,A,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,TmNPVFlBX,If you didn’t have the time to study or really understand the course you would be really behind and lose track.,5.0,3.0,4.0,2025-05-10T00:14:11.150Z,Walker White,C+,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,HYJEB1W86F,"Great teacher, relatively engaging and interesting lectures. Prelims are kinda tough, although I had 0 coding experience prior. ",3.0,3.0,3.0,2025-03-19T17:04:32.681Z,Walker White,B,Biological Engineering,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,BrQMaBaUp,Good introduction class for Python. I feel like I learned a lot from this class. Walker White was a really good professor who taught the concepts well and provided good examples. The exams were sometimes on the harder side but still very fair. I would highly recommend this class for anyone interested in learning coding or basics to CS.,5.0,3.0,3.0,2025-03-19T16:45:33.710Z,Walker White,B+,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,jNBG8x0YF,"Walker White is hands down one of the best professors. ever. He's very engaging and has very well planned out lectures and slides, and as someone who has never taken a CS class before, he made all the basic concepts easy to learn. The labs were very helpful and I gained a lot from the class, all I would say is that I personally found the exams to be very challenging, especially in terms of timing. Since I'm not very experienced, that was my issue, though I always got A's or A+'s on projects. Even though I ended up with a B for the course, getting the projects right was the most important thing for my learning, and I'm glad I took this course.",5.0,4.0,3.0,2025-01-16T15:38:29.491Z,Walker White,B,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,GKNahztc6,"Super well-designed course; walker is a great lecturer. Do all the labs (including the optional parts when tests come around). Assignments are fun but can take a long time so start a weekend before, pick a good partner, and crank them out.

The grading is slightly confusing, you basically have to ace all the assignments (just check your work with consultants/others) and then do within the ""A-range"" on test. I averaged a 98 on assignments and an 83 on tests and squeezed out the A.",5.0,4.0,4.0,2025-01-05T17:31:07.504Z,Walker White,A,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,pLmGYSEfY,"I thought the class did teach me a lot of skills (as someone who has never touched python prior to the class). The workload is pretty heavy (but probably also relatively in line with many other cs courses) with assignments and exams. It was difficult for me, but the grading was fair and it was valuable.",4.0,4.0,4.0,2024-12-16T03:36:40.698Z,Walker White,A-,Psychology,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,FUbe-6Nz_,"A rather difficult course, even if you have a bit of programming experience, and especially if you are a newbie. Lectures are done very well by the GOAT Walker White. He also has supplemental videos which are super helpful. 

He provides ample resources for prelims and exams, such as a study guide, vocab sheet, review sessions, etc. EdStem (the platform used for questions) is very active and you will easily find an answer to any question you have.

Assignments can take a substantial amount of time, but try and find a smart partner and they will carry you.

",3.0,4.0,4.0,2024-12-16T00:44:41.088Z,Walker White,B,Information Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,3O0vSVNwB,I liked how engaging the lectures were. The discussion labs were very helpful to understand lecture material.,5.0,3.0,3.0,2024-12-06T19:55:07.304Z,Walker White,A,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,5Qwb6A2kO,It was a good course! Walker White is such an engaging professor. Highly recommend it in the fall!,5.0,3.0,3.0,2024-12-06T19:08:05.672Z,Walker White,A-,Computer Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,zBZOehuWd,"I liked that the assignments/labs actually helped me develop good coding skills. The exams were pretty difficult, but nothing too much out of the ordinary. Only thing is that the assignment are really long and a lot of work. The TAs were not helpful anytime I went to office hours, so you're kind of on your own.",5.0,4.0,4.0,2024-12-03T14:45:15.850Z,Walker White,A+,Cognitive Science,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,as4I4PETZ,Weekly discussions were fine but some of the assignments took a long time. Make sure to start them early and go to office hours because on the day it's due it can take up to 40+ hours to get a TA to help you. Prelims were pretty similar to the practice prelims so make sure you practice them a lot. ,2.0,5.0,5.0,2024-10-09T21:25:33.273Z,Anne Bracy,B-,Computer and information sciences,0.0,False
,CS,1110,,,,,,,,,,,,,,,,,,,,,,,qigJmZFGbwcyMvQ2x,Introduction to Computing Using Python,cs 1110 introduction to computing using python,nY23A6ta1B,"Difficult class but worth taking for a career in tech! I enjoyed the resources, videos, and lecture material--Walker White is a great professor. I'd just say his assignments are very long and overwhelming at times.",3.0,4.0,4.0,2024-10-09T21:22:30.878Z,Walker White,A-,Computer science,0.0,False
